sample_id	number_non_filtered_breaks	number_asisi_breaks	normalised_number_asisi_breaks
Sample15.breakends	4859	15	3.0870549495781026
Sample4.breakends	6990	0	0.0
Sample2.breakends	10361	0	0.0
Sample9.breakends	1826	5	2.7382256297918945
Sample1.breakends	7774	0	0.0
Sample5.breakends	5697	0	0.0
Sample16.breakends	5347	18	3.36637366747709
Sample6.breakends	6466	0	0.0
Sample10.breakends	2961	10	3.3772374197906116
Sample3.breakends	3734	1	0.2678093197643278
Sample8.breakends	4577	0	0.0
Sample7.breakends	5858	0	0.0
Sample12.breakends	2283	5	2.190100744634253
Sample11.breakends	2076	10	4.816955684007707
Sample13.breakends	1629	2	1.2277470841006752
Sample14.breakends	3564	7	1.9640852974186307
